Symptom,Description,English_Symptoms
Malabandham,Constipation due to fecal impaction.,"three stools a week, Hard, dry lumpy stools, troble having bowel movement"
Raktapradara,Menorrhagia (excessive menstrual bleeding).,"abdominal pain, burning sensation, weakness in the body, nausea"
Mutrakricchra,Dysuria (painful urination).,"frequent micturition, difficulty, burning sensation during micturition"
Rajayakshma,Tuberculosis.,"headache, fever, cold, loss of appetite"
Daha,Burning sensation.,"Fever, Mouth ulcer, headache, burning sensation in chest, eyes face"
Pliharoga,Splenic disorders.,"Low red blood cells , anemia, , frequent infection, bleeding easily"
Raktapitta,Bleeding disorders related to Pitta dosha.,"weakness , sh tness of breath, cough , fever , vomiting"
Medhya,Enhancing intellect.,"anxiety, depressive mood, somatic mood, emotional withdrawal"
Vishamajvara,Irregular fever.,"pain in smaller joints, excessive sleep, heaviness of head, running nose, cough"
Manodaurbalya,Mental weakness.,"mental weakness, imbalance of mind"
Ojakshya,Immune deficiency.,"Weakness, fear, fatigue of sense gans, dryness of body, imbalanced mind depression"
Tvakrogama,Skin diseases.,"dry skin, pale skin, rashes, red-white bumps, open s es"
Mukhapaka,Oral ulcers.,"Burning pain, Difficult to engulfed the food, redness, Lymph node enlarge associate with fever."
Hridya,Cardiotonic.,"chest pain, chest tightness, discomf t"
Pittajvaram,Fever due to Pitta dosha.,"headache, fever, vomiting, dizziness"
Udara,Abdominal disorders.,"debility, an exia, indigestion, retention of urine feces, tympanitis, vomiting, "
Badhirya,Deafness.,"loss of hearing, ear fullness, Tinnitus"
Kasa,Cough.,"dry wet cough, difficulty breathing, s e throat, fatigue"
Vatroga,Diseases related to Vata dosha.,"joint pain, dry skin, constipation, gas bloating, restlessness"
Udavarta,Reverse movement of Vata.,"bloating, heartburn, belching, constipation, feeling of fullness in abdomen"
Shirokampa,Tremors of the head.,"dizziness, changes in voice pitch, throat pain, loss of voice"
Svarbheda,Hoarseness of voice.,"dark urine, fatigue, Pale-col ed stools, Yellow discol ation of the skin eyes"
Kamala,Jaundice.,"dark urine, abdominal pain, Pale-col ed stools, Yellow discol ation of the skin eyes"
Trikshula,Abdominal colic.,"Colicky abdominal pain , sharp, intermittent pain, , Distension of the abdomen, nausea"
Jirnapravahika,Chronic diarrhea.,"dehydration, weakness, abn mal cramps, watery stools, weakness"
Budhidaurbalya,Mental weakness.,"difficulty concentrating, f getfulness, mental fatigue, lack of clarity in thinking"
Mutrakriccha,Difficulty in urination.,"Painful burning sensation during urination, Frequent urge to urinate, reduce urine output"
Mukharoga,Oral disorders.,"toothache, bad breath, mouth ulcers, altered taste sensation"
Ajirna,Indigestion.,"headache, fainting, giddiness, stiffness in back waist, body ache, fever, vomiting, tenesmus"
Vicharchika,Eczema.,"itching, discol ation, dry cracked skin"
Udarashula,Abdominal pain.,"abdominal pain, painful defectaion, bloody diarrhoea"
Keshapata,Hair fall.,"loss of hair, mild baldness"
Jirnapratishaya,Chronic rhinitis.,"frequent sneezing, discharge of watery secretion from nose, nasal congestion, pain in nose"
Manyastambha,Muscle stiffness.,"neck pain, stiffness"
Amatisara,Chronic diarrhea.,"abdominal pain especially cramping, bloating, thirst, dehydration, fatigue weakness"
Halimaka,Cirrhosis of the liver.,"feve, Pain in the body, giddness, drowzines, emaciation of the body"
Bhru-shankha-karnashula,"Pain in the eyebrows,temples,and ears.","headche, cold, cough"
Charmkila,Skin tags.,"discomf t, itching low grade infection."
Raktanishthivana,Blood vessel disorders.,"weakness , sh tness of breath, Kasa , cough , fever, vomiting"
Shukramehathi,Seminal disorders.,"Anxiety , Chest discomf t , Cough , Dizziness , Fatigue, Nausea lack of appetit"
Jara,Aging.,"skin changes, fatigue, joint muscle pain"
Yonidosha,Vaginal disorders.,"vaginal discharge, itching, discomf t"
Sukradosha,Semen disorders.,"loss of erection, premature ejaculation, weakening of muscles, wrinkling of the skin , whitening of hair, "
Avabahuka,Frozen shoulder.,"pain in shoulder, shoulder stiffness, loss of function of the limb"
Smritibhransha,Memory loss.,"loss of mem y, Language impaired w d, Frustration anxiety"
Bhutonmada,Psychic disorders.,"exhibition of strength, energy, abn mality of speech, abn mality in perceiving self environment"
Parshvashula,Side pain.,"Sharp stabbing pain in the chest, breathing problem"
Shulayuktabradhna,Stones associated with pain.,"h tness of breath after exertion, lab ed breathing , tightness in the chest , shallow breathing"
Apasmara,Epilepsy.,"cardiac pain, visual hallucination, falling down, twitching of tongue eyes, frothing salivation, trem s of hs feet."
Kotha,Cough.,"discol ation/blackishness, putrification"
Udvega,Anxiety.,"excessive anxiety w ry, restlessness, being easily fatigued, difficulty in concentration, irritability, sleep disturbance"
Ama,Toxins or undigested food.,"Fatigue lack of energy, Bloating gas, Constipation irregular bowel movements, Skin rashes acne."
Urdhvajatrugataroga,Upper respiratory tract disorders.,"abn mal heart rate, high blood pressure, migraine headaches, dry mouth."
Pakshaghata,Hemiplegia.,"difficulty in speaking difficulty in seeing with one both eyes; difficulty in walking, loss of balance co dination"
Panguvata,Hemiplegia.,"Weakness, Paralysis, Loss of sensation, Difficulty speaking, Difficulty swallowing, Loss of balance, Muscle stiffness, Impaired mot control, Facial drooping, Numbness"
Aksepa,Seizures.,"painful body ache, Weakness, giddiness, fainting, darkness bef e the eyes, thirst"
Shvasa,Asthma.,"recurrent episodes of wheezing, breathlessness, tightness of chest cough"
Pliha-yakridroga,Disorders of the spleen and liver.,"nausea, loss of appetite, fatigue diarrhoea"
Hanustambha,Facial paralysis.,"stiffness of temp omibular joint, pain in jaw, aching pain in around ear, difficulty in chewing, difficult to open close your mouth"
Asthiruja,Joint pain.,"shortness of breath, Chest tightness pain, Wheezing when exhaling, Trouble sleeping caused by sh tness of breath"
Vandhyaroga,Infertility.,"nausea, headache, dizziness, vomiting"
Amadosha,Impaired digestion.,"Constipation irregular bowel movements, Foul breath body od , Fatigue lack of energy."
Smritikshaya,Memory decline.,"Dizziness Lightheadedness, Fainting, Blurred Vision , Fatigue Weakness , Nausea"
Pakshaghat,Paralysis.,"confusion, difficulty in speaking , difficulty in walking, dizziness, loss of balance co dination"
Gulma,Abdominal tumor or mass.,"Excessive loss of Excretion Fasting Symptoms, Obstruction in Faeces , Flatus Dryness in throat , mouth Blackish Reddish Complexion Fever"
Vishmajvara,Poisonous fever.,"pain in smaller joints, excessive sleep, heaviness of head, headache, running nose, cough"
Arochaka,Loss of appetite.,"Excessive burning sensation , in the region,  of the heart, sucking pain , a bitter taste in the mouth, thirst fainting fits"
Netravrana,Eye injury.,"Eyelid redness, puffy eyes, watery eyes, lump on the eye, eyelid pain, eyelid tenderness"
Pradara,Leucorrhea.,"Abdominal Pain, Stomach cramps, Weakness, Vaginal discharge, itching burning pain"
Karnagutha,Ear infection.,"mild pain discomf t inside ear, a persistent feeling of pressure inside ear, pus-like ear drainage, hearing loss"
Karnasrava,Ear discharge.,"Ear pain, itching, Ringing in the ear, Fever, Redness of skin around ear, Hearling loss, Cranial nerve dysfunction, vertigo"
Visavikara,Poisonous conditions.,"Nausea, Vomiting, Abdominal Pain, Difficuly in breathing, Seizures, Unconsciousness, irregular heart beat"
Mahakushtha,Severe skin diseases.,"discolored patches, dryness, s es, peeling, rashes, bumps, scaly rough skin"
Rajorodha,Menstrual blockage.,"Missed periods, severe abdominal pain, bloating, nausea, changes in menstrual flow duration"
Yonibhransha,Vaginal prolapse.,"Fullness, pain in pelvic area, Lower back pain, Vaginal bulging, Leakage, Repeat bladder infections, Difficulty pooping, Sexual intercourse issues"
Gridhrasi,Sciatica.,"Weakness difficulty in knee foot movement, abn mal reflexes, numbness, pain during leg lifting."
Vranaropana,Wound healing.,"redness, swelling, pain, warmth, discharge, gradual closure, scab f mation, eventual tissue repair"
Kushta,Skin disorders.,"rash, itching, redness, swelling, flakiness, pain, potential changes in pigmentation texture"
Palitya,Premature graying of hair.,"Gray white hair, premature onset, lack of pigmentation, genetic fact s, stress, underlying health conditions."
Keshashata,Baldness.,"gradual hair thinning, receding hairline, visible scalp, potential complete hair loss, often influenced by genetic fact s, hormonal changes, aging."
Garavisha,Poisoning by heavy metals.,"nausea, vomiting, abdominal pain, fatigue, neurological changes, may include gan damage"
Balya,Health-promoting.,"Increased energy, Improved mood, Enhanced cognitive function, Better sleep quality, Strengthened immune system, Overall well-being"
Apsmara,Epilepsy.,"Seizures, Loss of consciousness, Staring spells, Confusion, Uncontrollable movements, Repetitive behavi s"
Amlapitta,Hyperacidity.,"Heartburn, Regurgitation, Chest pain, Nausea, Sour taste, Difficulty swallowing"
Pratishyaya,Common cold.,"Runny stuffy nose, Sneezing, Coughing, S e throat, Fatigue, Body aches."
Upadansha,Skin eruptions.,"redness, itching, swelling, rash, blisters, potential pain discomf t."
Madhumeha,Diabetes.,"Frequent urination, Increased thirst, Unexplained weight loss, Fatigue, Blurred vision, Slow wound healing, numbness in extremities"
Aruchi,Anorexia.,"Extreme weight loss, preoccupation with food, dist ted body image, amen rhea."
Shwetapradara,White discharge (leucorrhea).,"White vaginal discharge, Od , Itching, Irritation, Abdominal pain, Discomf t during urination"
Pakshavadha,Hemiplegia.,"Weakness on one side, Loss of sensation, Difficulty moving, Difficulty speaking, Facial drooping."
Karnanada,Earache.,"Pain in the ear, Hearing loss, Ear drainage, Ear fullness pressure."
Vataraktaruja,Gout.,"Painful joints, Swelling, Redness, Tenderness, Limited range of motion in the affected joint"
Yonivyapat,Vaginal prolapse.,"Fullness, pain in pelvic area, Lower back pain, Vaginal bulging, Leakage, Repeat bladder infections, Difficulty pooping, Sexual intercourse issues"
Shotha,Edema.,"Swelling, puffiness, bloating, tightness, weight gain, stretched shiny skin in the affected areas"
Grahaniroga,Irritable bowel syndrome.,"Abdominal pain, Bloating, Gas, Diarrhea constipation, Mucus in stool, Changes in bowel habits."
Apachi,Herpes.,"S es blisters, Itching, Pain, Flu-like symptoms, Tingling burning sensation."
Prameha,Urinary disorders.,"Frequent urination, Pain during urination, Blood in urine, Urgency, Incontinence, Lower abdominal pain"
Jvara,Fever.,"Elevated body temperature, Chills, Sweating, Headache, Muscle aches, Fatigue."
Balashosha,Nutritional edema.,"Swelling, puffiness, fluid retention, weight gain, changes in skin texture due to nutritional deficiencies."
Bhrama,Vertigo.,"Dizziness, Spinning sensation, Nausea, Vomiting, Unsteadiness, Loss of balance"
Trisha,Thirst.,"Persistent dry mouth, Dry sticky feeling in the mouth, Strong urge to drink water, Dehydration-related symptoms."
Hridroga,Heart disease.,"Chest pain, shortness of breath, Fatigue, Irregular heartbeat, Dizziness."
Vatashonita,Gouty arthritis with bleeding.,"severe joint pain, swelling, redness,  , bleeding into the joint space."
Garbhadosha,Fetal abnormalities.,"Organ malf mations, Growth issues, Genetic markers."
Prasavottararoga,Post-delivery disorders.,"Fatigue, mood swings, anxiety, sleep disturbances, challenges in breastfeeding bonding with the baby"
Smritidaurbalya,Memory weakness.,"F getting recent inf mation, Difficulty concentrating, Confusion, Difficulty recalling names w ds."
Balagraha,Malnutrition.,"Weight loss, Fatigue, Weakness, Lack of energy, Po concentration, Nutrient deficiencies, Muscle wasting"
Visarpa,Erysipelas.,"Erythema , redness, , Swelling, Warmth, Pain, Fever, Chills, Blisters, Skin rash."
Drishtimandya,Visual impairment.,"Blurred vision, Double vision, Blind spots, Difficulty seeing in low light, Eye pain discomf t."
Prasavottaralakshana,Post-delivery symptoms.,"Fatigue, mood swings, anxiety, sleep disturbances, challenges in breastfeeding bonding with the baby"
Khanja,Lameness.,"Limping, Pain discomf t while walking, Reduced range of motion, Difficulty bearing weight on the affected limb"
Kandu,Itching.,"Skin irritation, Redness, Rash, Tingling sensation, Scratching, Dry flaky skin."
Daurbalya,Weakness.,"Fatigue, Loss of strength, Difficulty in movement, Lethargy, Overall reduced physical muscular capability."
Vataroga,Diseases related to Vata dosha.,"Joint pain, Stiffness, Digestive issues , bloating, constipation, "
Vatashlaismikapratishyaya,Allergic rhinitis due to Vata dosha.,"Sneezing, Runny stuffy nose, Itchy watery eyes, Itchy throat ears, Fatigue, Coughing."
Drishtidaurbalya,Weak vision.,"Blurred vision, Difficulty focusing, Eye strain, Headaches, Squinting, Sensitivity to light."
Amashula,Abdominal colic due to Ama (toxins).,"Abdominal cramps, Pain, Bloating, Nausea, Vomiting, Diarrhea, Distention"
Kustha,Leprosy.,"skin lesions, numbness, weakness, def mities, in severe cases, loss of sensation disfigurement."
Vibandha,Constipation.,"Infrequent bowel movements, Difficulty passing stools, Abdominal discomf t, Bloating, Straining during bowel movements"
Sharkara,Pemphigus.,"blistering erosions of the skin mucous membranes, with pain, itching, potential secondary infections."
Karshya,Emaciation.,"extreme weight loss, muscle wasting, fatigue, weakness, a visibly thin gaunt appearance."
Krichhrartav,Painful menstruation.,"intense pelvic pain, cramps, lower back pain, nausea, headaches during menstruation."
Ashmari,Kidney stones.,"severe pain in the back side, blood in urine, frequent urination, painful urination"
Karnashula,Ear pain.,"discomf t, sharp dull pain, hearing loss, ringing in the ears, potential drainage swelling."
Udararoga,Abdominal disorders.,"pain, bloating, nausea, vomiting, changes in bowel habits, discomf t in the abdominal region."
Arshagarbhasayaroga,Hemorrhoids in pregnancy.,"pain discomf t during bowel movements, itching, swelling, sometimes bleeding."
Abhighatajavedanaandvatavikara,Nervous system disorders due to trauma.,"headaches, mem y issues, mood swings, difficulty concentrating, sens y disturbances."
Pittajashirahshula,Headache due to Pitta dosha.,"intense throbbing pain, sensitivity to light, irritability, aggravation with heat."
Klaivya,Leprosy.,"skin lesions, numbness, weakness, def mities, in severe cases, loss of sensation disfigurement."
Angasthambha,Body stiffness.,"reduced range of motion, muscle tightness, discomf t, difficulty moving bending."
Krimi,Worm infestations.,"abdominal pain, bloating, diarrhea, nausea, weight loss, visible presence of worms in stool."
Unmada,Insanity.,"hallucinations, delusions, dis ganized thoughts, impaired judgment, disruptions in social occupational functioning."
Jirnajvara,Chronic fever.,"persistent elevated body temperature, fatigue, night sweats, unintentional weight loss, recurrent episodes of fever."
Shosha,Emaciation.,"extreme weight loss, muscle wasting, fatigue, weakness, a visibly thin gaunt appearance"
Kshatakshina,Wasting syndrome.,"Extreme weight loss, muscle wasting, fatigue, weakness, overall decline in health."
Sarvajvara,All types of fever.,"Fever, Cough, Fatigue, Headache, Joint pain, Rash , varies by type, "
Katishula,Backache.,"vocalized pain discomf t in the back, stiffness, limited range of motion,  in some cases, radiating pain."
Parinamashula,Colicky pain.,"intermittent crampy abdominal pain that comes goes, often accompanied by nausea vomiting"
Sarpadamsha,Snakebite.,"pain swelling at the bite site, redness, bruising, nausea, vomiting, weakness, difficulty breathing, in severe cases, shock paralysis"
Pramehapidika,Boils in urinary tract disorders.,"Painful urination, frequent urge, cloudy bloody urine, abdominal pain"
Vatakaphajaroga,Diseases related to Vata and Kapha dosha.,"Joint pain, Stiffness, Digestive issues, Fatigue, Respirat y symptoms"
Janghashula,Calf pain.,"localized pain discomf t in the calf muscle, swelling, tenderness, difficulty bearing weight on the affected leg."
Grahaniroga?pravahika,Irritable bowel syndrome with diarrhea.,"Alterations in bowel habits, Abdominal pain, Bloating gas, Diarrhea, Blood in stool, Dehydration"
Svarakshaya,Voice loss.,"General Weakness, Weight Loss, Decreased Immunity, Impaired Reproductive Function, Hair Loss"
Pandu,Anemia.,"Fatigue Weakness, Pale Skin Mucous Membranes, shortness of Breath, Dizziness, Cold Hs Feet"
Mandagni,Impaired digestion.,"Indigestion, Po Appetite, Bloating, Flatulence, Constipation, Fatigue"
Trishna,Thirst.,"Frequent Thirst, Dry Mouth, Dry Skin, Dark Yellow Urine, Fatigue"
Sthaulya,Obesity.,"Excessive Body Weight, Breathlessness, Joint Pain, Lethargy, Increased Sweating"
Timira,Blindness.,"Blurred Vision, Difficulty Focusing, Double Vision, Night Blindness, Peripheral Vision Loss"
Prishashula,Side pain.,"Localized Pain, Dull Aching Pain, Stiffness, Muscle Spasms, Difficulty Sting Sitting"
Asthibhagna,Bone fractures.,"Swelling, Bruising, Def mity, Limited Range of Motion, Tenderness to Touch"
Kasashvasa,Cough and breathlessness.,"Cough, Kasa, , shortness of Breath, Shvasa, , Wheezing, Chest Tightness, Sputum Production"
Vidagdhajirna,Digestive disorders causing burning sensation.,"Burning Sensation, Hyperacidity, Nausea, Vomiting, Loose Stools Diarrhea"
Vidradhi,Abscess.,"Swelling, Redness, Fever, Pus Discharge, Limited Mobility, Malaise"
Dantaroga,Dental diseases.,"Toothache, Sensitivity, Gum Swelling, Bleeding Gums, Bad Breath"
Amajirna,Indigestion due to Ama (toxins).,"Indigestion, Po Appetite, Nausea, Bloating, Coated Tongue"
Vandhyatva,Infertility.,"Difficulty Conceiving, Irregular Menstrual Cycles, Painful Menstruation, Hormonal Imbalances, Male Fact Infertility"
Grahani,Irritable bowel syndrome.,"Alterations in Bowel Habits, Abdominal Pain, Bloating Gas, Incomplete Evacuation, Mucus in Stools"
Balakshaya,Loss of strength in children.,"Delayed Growth, Underweight, Weakness Fatigue, Po Appetite, Susceptibility to Infections"
Kshudrakushtha,Minor skin disorders.,"Itching, Dry Skin, Burning Sensation, Cracking of Skin, Discharge"
Sutikaroga,Postpartum disorders.,"Weakness, Abdominal Pain, Vaginal Discharge, Swelling Edema, Digestive Disturbances"
Asthichyuti,Bone atrophy.,"Fractures, Bone Pain, Loss of Height, Reduced Grip Strength, Stooped Posture, Decreased Bone Density"
Vrishya,Aphrodisiac.,"Enhanced Sperm Quality, Regular Menstrual Cycle, Optimal Hormonal Balance, Increased Stamina Energy"
Sthanikashotha,Localized swelling.,"Swelling, Redness, Restricted Movement, Discol ation, Impaired Function"
Sandhishula,Joint pain.,"Joint Pain, Swelling, Stiffness, Reduced Range of Motion, Systemic Symptoms"
Urushula,Thigh pain.,"Throbbing, Difficulty walking, Swelling, Tenderness, Restricted movement, Numbness , Tingling, Warmth, Redness in the Thigh"
Angavedana,Body pain.,"Intense Pain, Throbbing Pulsating Pain, Increased Sensitivity, Redness Swelling, Restricted Movement"
Pravahika,Dysentery.,"Loose Stools, Increased Frequency, Abdominal Cramps, Urgency, Nausea, Weakness Fatigue"
Kaphavatajanadivrana,Wounds with Kapha and Vata involvement.,"Dryness, Reduced Healing Capacity, Cracking, Numbness, Discharge, Change in Skin Col "
Pangu,Limping.,"Limping, Limited Range of Motion, Def mity, Muscle Weakness, Balance Issues, Functional Impairment"
Pama,Filariasis.,"Swelling, Fever, Lymphedema, Lymphadenitis, Skin thickening, Pain, Redness, Fatigue, Malaise"
Shvetapradara,White discharge (leucorrhea).,"Abn mal Vaginal Discharge, Itching, Foul Od , Burning Sensation, Lower Abdominal Pain"
Galaroga,Goiter.,"S e Throat, Difficulty Swallowing, Hoarseness of Voice, Cough, Throat Itching, Excessive Salivation"
Raktajpravahika,Hemorrhagic diarrhea.,"Bleeding from the Rectum, Abdominal Pain, Diarrhea, Tenesmus, Anemia, Weight Loss"
Kampa,Tremors.,"Neurological Dis ders, Vata Imbalance, Fear Anxiety, Weakness, Involuntary Muscle Movements"
Abhishyanda,Ophthalmia.,"Redness of the Eyes, Excessive Tearing, Itching Sensation, Burning Sensation, Swelling of the Eyelids"
Charmavikara,Skin disorders.,"Skin Rash, Itching, Dry Skin, Burning Sensation, Pigmentation Changes, Scaling Peeling"
Pliha,Spleen disorders.,"Pain Discomf t in the Left Upper Abdomen, Enlarged Spleen, Fullness Heaviness in the Abdomen, Fatigue"
Udarda,Urticaria.,"Skin Rash, Itching, Burning Sensation, Swelling, Redness, Change in Skin Col , Varying Shapes Sizes"
Vidarika,Herpes.,"Small Skin Growths, Col Variations, Rough Texture, Itching Discomf t"
Yakshma,Tuberculosis.,"Cough, Hemoptysis, Weight Loss, Fatigue, Night Sweats, Loss of Appetite"
Adhamana,Flatulence.,"Indigestion, Abdominal Discomf t, Flatulence, Irregular Bowel Movements, Fatigue"
Moha,Delusion.,"Excessive Attachment, Delusion, Lack of Discrimination, Irrational Behavi , Dependence, Resistance to Change"
Striroga,Gynecological disorders.,"Menstrual Irregularities, Dysmen rhea, Amen rhea, Pelvic Pain"
Parinamshula,Colicky pain due to diet.,"Pain Aggravated by Dietary Changes, Distension Bloating, Altered Bowel Habits, Nausea Vomiting"
Somaroga,Diseases related to the moon (lunar disorders).,"Dis ders of the Urinary System, Reproductive System Dis ders, Conditions Affecting Fluid Balance"
Manasadosha,Mental disorders.,"Anxiety, Depression, Insomnia, Mood Swings, Mem y Impairment, Difficulty Concentrating"
Kaphajavrana,Wounds with Kapha involvement.,"Swelling, Heaviness, Discharge, Whitish Pale Appearance, Itching"
Agnimandyaudararoga,Digestive weakness and abdominal disorders.,"Indigestion, Abdominal Discomf t, Bloating, Flatulence, Fatigue"
Bhagandara,Fistula-in-ano.,"Pain in the Anal Region, Swelling Lump, Pus Discharge, Itching, Bleeding"
Smritiandbuddhivardhaka,Enhancing memory and intellect.,"Mem y Impairment, Cognitive Decline, Difficulty Concentrating, F getfulness"
Raktatisara,Blood diarrhea.,"Bloody Stools, Diarrhea, Abdominal Pain, Anemia, Dehydration"
